Date,Fatalities,Injuries
07/10/2023,198,1610
08/10/2023,413,2300
09/10/2023,687,3800
10/10/2023,830,4250
11/10/2023,1100,5339
12/10/2023,1417,6268
13/10/2023,1900,7696
14/10/2023,2228,8744
15/10/2023,2670,9600
16/10/2023,2808,10850
17/10/2023,3000,12500
