Date,Fatalities,Injuries
07/10/2023,3,30
08/10/2023,13,
09/10/2023,17,295
10/10/2023,19,332
11/10/2023,26,427
12/10/2023,33,500
13/10/2023,43,700
14/10/2023,54,1151
15/10/2023,56,1173
16/10/2023,58,1176
17/10/2023,61,1230
