Date,Fatalities,Injuries
07-Oct-23,70,985
08-Oct-23,677,2000
09-Oct-23,900,2616
10-Oct-23,1000,2806
11-Oct-23,1200,3192
12-Oct-23,1300,3391
13-Oct-23,1300,3436
14-Oct-23,1300,3621
15-Oct-23,1300,3621
16-Oct-23,1300,4121
17-Oct-23,1300,4229
